Real Part,Frequency (Hz)
-1098.8465909223266,10521.587481918856
-1098.8465909239933,10521.587481918552
-1099.7767720541572,5804.781627630903
-1099.7767720543993,5804.781627630593
-1105.060042288468,11018.525269103966
-1105.0600422890566,11018.525269104237
-1113.6776475186548,3407.561032351759
-1113.6776475216382,3407.5610323512606
-1113.7094617367106,13666.865405066459
-1113.7094617367916,13666.865405066637
-1115.9924703649415,8339.351729183743
-1115.9924703661097,8339.351729182881
-1118.2205251034488,14710.768206757077
-1118.2205251051728,14710.768206757306
-1125.924458846766,8086.107050944025
-1125.924458849052,8086.107050944236
-1126.8707879220212,3161.2980085305635
-1126.8707879222884,3161.298008530677
-1131.294950914195,11263.03657313462
-1131.2949509159303,11263.036573134697
-1133.6784295071714,1225.5285725658143
-1133.678429508955,1225.5285725655442
-1135.8995990297558,2427.2195849991717
-1135.8995990313063,2427.219584999529
-1141.419891741419,4581.823136139129
-1141.4198917427311,4581.82313613896
-1144.0782243936194,12433.253294069762
-1144.0782243954848,12433.253294069491
-1164.0305989621515,17873.138755242457
-1164.0305989640358,17873.13875524267
-1168.394590713108,1035.7430946362122
-1168.3945907149032,1035.7430946367797
-1168.7464177619502,14345.905858691578
-1168.7464177631637,14345.905858691349
-1170.0578240488817,8570.376323875742
-1170.057824052392,8570.376323875678
-1171.2489861878828,5040.946293478128
-1171.2489861890824,5040.946293478643
-1181.252223213657,11487.636973898676
-1181.2522232140313,11487.636973898405
-1184.8204281587934,11744.924438328391
-1184.8204281607573,11744.92443832833
-1186.0323425562806,4821.769666704203
-1186.0323425592808,4821.769666703695
-1213.7632676241833,12166.52806768754
-1213.7632676260325,12166.528067687199
-1232.2038894143338,6240.7971152284035
-1232.2038894176035,6240.797115228547
-1237.7305550240249,2229.2235175427845
-1237.730555026728,2229.2235175427536
-1242.7105789760249,3926.641533801047
-1242.710578977996,3926.641533801679
-1256.912755628635,7823.595930556189
-1256.912755630122,7823.595930556489
-1262.6799944752279,7181.515144719517
-1262.6799944775998,7181.515144719198
-1267.7214405330226,16727.728559630123
-1267.7214405346729,16727.728559630345
-1272.9509947956392,16002.906695259959
-1272.9509947960328,16002.90669525989
-1291.8828174133278,6872.905411764632
-1291.8828174151265,6872.90541176381
-1304.6194768370228,7449.395203295762
-1304.6194768417736,7449.3952032957195
-1331.583437485362,6026.224164468027
-1331.583437486488,6026.224164468321
-1406.0691426907747,12698.354770396112
-1406.0691426913659,12698.354770397062
-1458.1231564226716,14054.508902461568
-1458.123156427237,14054.508902461323
-1514.093191014499,13904.549539694275
-1514.0931910168113,13904.549539693953
-1521.7520612139872,4077.755120269248
-1521.7520612200703,4077.7551202687655
-1548.0310897647214,12853.276457957547
-1548.0310897665115,12853.276457957158
-1554.6444771884537,11975.895657256928
-1554.6444771907347,11975.89565725776
-1941.9030766871313,14542.862683054998
-1941.9030766913052,14542.86268305532
-1986.5553409677138,7627.319884550125
-1986.555340975686,7627.319884551849
-2000.6193068729995,6806.999950979733
-2000.6193068777702,6806.999950982203
-28072.348615461116,22049.900000000303
